Year,COUNTY,District Name,Autism,Total SWD Count,Total Students,Classification Rate,SED1,GEOID,Longitude,Latitude,PM25,Elevation (ft),vpdmin_hPa,vpdmax _hPa,ppt_mm,tmin_c,tmean_c,tmax_c,tdmean_c,Total_pop,Age20to24_percent,Age25to34_percent,Age35to44_percent,Age45to54_percent,Age55to59_percent,Age60to64_percent,Age65to74_percent,Age75to84_percent,Age85plus_percent,Age18plus_percent,Age21plus_percent,Age65plus_percent,LC_Total,Pop_density,GEO_ID,Below_poverty_percent,Bachelor_plus_percent,Median_household_income,NAME,total_pop,male_percent,female_percent,median_age,under5_percent,age5to9_percent,age10to14_percent,age15to19_percent,white_percent,black_percent,asian_percent,hispanic_percent,non_hispanic_percent,Water_percent,Developed_percent,Barren_percent,Forest_percent,Shrub_percent,Grass_percent,Pasture_crops_percent,Wetland_percent
2016,Schoharie,COBLESKILL-RICHMONDVILLE CENTRAL SCHOOL DISTRICT,22,167,1723,9.69,54110206,3600010,-74.5209,42.6631,5.4,1283,0.57,10.37,918.72,2.83,8.61,14.39,2.28,13735,10.15,9.37,8.97,13.15,8.02,7.91,9.4,5.58,1.73,82.34,70.76,16.71,469938600,29.23,9700000US3600010,10.7,22.9,51409,"Cobleskill-Richmondville Central School District, New York",13735,49.1,50.9,40.7,4.6,5.1,4.8,11.2,93.3,3.1,0.9,3,97,0.472849006,9.383055574,0.242840235,50.5779904,0.099587478,0.102651708,34.00605952,5.114966083
2016,Chautauqua,SILVER CREEK CENTRAL SCHOOL DISTRICT,6,185,1087,17.02,6150104,3626880,-79.1622,42.5257,5.8,640,1.55,9.46,1076.2,6.28,10.56,14.78,3.89,6263,7.14,11.24,10.06,14.75,9.64,6.99,9.71,6.45,2.47,79.79,78.16,18.63,86425200,72.47,9700000US3626880,11.5,16.6,51983,"Silver Creek Central School District, New York",6263,48.3,51.7,45,5.5,6.4,5,4.6,94.6,0.7,0,3.9,96.1,0.613362769,17.6219436,0.318657058,32.53634357,0.018744533,0.142666722,42.58757862,6.160703128
2016,Albany,WATERVLIET CITY SCHOOL DISTRICT,20,202,1366,14.79,1120001,3630210,-73.7084,42.7205,5.7,75,1.76,12.57,849.38,5.89,11.17,16.44,2.89,11188,9.25,15.48,13.74,14.73,5.46,6.25,7.11,3.67,1.8,79.31,75.89,12.58,5322600,2101.98,9700000US3630210,12.7,22.3,49457,"Watervliet City School District, New York",11188,50.4,49.6,37.1,6.2,4.7,5.8,5.9,83.2,9,1.6,5.4,94.6,7.507609063,89.75312817,0,1.234359148,0,0.016909029,0.016909029,1.47108556
2016,Genesee,BATAVIA CITY SCHOOL DISTRICT,18,264,2659,9.93,18030001,3603990,-78.1775,42.9908,5.6,896,1.69,12.38,737.11,5.28,10.61,15.89,2.89,18132,7.45,12.37,12.06,14.48,7.33,4.33,9.51,5.63,4.41,79.89,76.6,19.54,66100500,274.31,9700000US3603990,12.6,25.3,45285,"Batavia City School District, New York",18132,49.4,50.6,42.3,5.8,6.7,4.4,5.5,89.1,5.6,1,2.8,97.2,2.371842876,33.61835387,0.435700184,12.13425012,0.080332221,0.298182313,34.4026142,16.65872422
2017,CATTARAUGUS,ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,9,143,1178,12.14,4030206,3600015,-78.5546,42.0799,6.7,1601,0.37,9.71,1235.71,2.78,8.44,14.06,2.56,9248,12.65,6.95,7.49,12.1,7.1,8.09,11.85,5.28,2.39,83.56,68.58,19.52,311706000,29.67,9700000US3600015,7.7,25.4,49430,"Allegany-Limestone Central School District, New York",9248,46.5,53.5,40.8,3.7,3,6.1,13.2,94,1.7,1.8,2.5,97.5,0.744932725,7.454813189,0.220592481,78.8652769,0.171796501,0.403938326,9.663047872,2.47560201
2017,SULLIVAN,SULLIVAN WEST CENTRAL SCHOOL DISTRICT,11,147,1124,13.08,59150204,3600023,-74.9899,41.7477,6.9,1178,0.17,9.92,1078.48,2.61,8.44,14.28,2.72,10154,6.05,10.66,8.49,16.28,8.56,7.24,15.63,5.84,1.46,82.42,78.8,22.93,661302000,15.35,9700000US3600023,4.3,28.9,61673,"Sullivan West Central School District, New York",10154,50.3,49.7,48.4,4.1,5.2,4,6.5,90.2,3.5,1.9,6.9,93.1,1.495005308,7.765861891,0.077710335,71.00764855,0.035793026,0.22006587,16.41212336,2.985791666
2018,WESTCHESTER,IRVINGTON UNION FREE SCHOOL DISTRICT,26,236,1867,12.64,66040202,3615450,-73.8663,41.0457,6.7,79,1.13,11.02,1696.72,7.56,12.06,16.56,5.17,9448,3.93,3.96,13.76,18.83,7.35,5.11,9.99,3,2.79,72.13,68.6,15.78,18274500,517,9700000US3615450,3.1,69.6,142326,"Irvington Union Free School District, New York",9448,47.8,52.2,43.4,3.7,7.2,10.7,9.6,84.7,3,7.3,8,92,37.47352869,46.39251416,0.034474267,15.42969712,0,0.068948535,0,0.600837232
2018,CATTARAUGUS,ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,8,151,1185,12.74,4030206,3600015,-78.5546,42.0799,6.2,1601,0.27,8.64,1289.05,2.5,7.83,13.17,2.83,9211,12.73,7.26,7.38,12.09,7.95,6.71,11.81,5.74,2.26,83.25,68.36,19.81,311706000,29.55,9700000US3600015,8,25.3,49267,"Allegany-Limestone Central School District, New York",9211,46.7,53.3,40.3,4.6,3,5.5,12.9,93.7,1.7,1.8,2.5,97.5,0.745798926,7.467228735,0.216261477,78.89934746,0.177571173,0.36669169,9.651209794,2.475890743
2018,SAINT LAWRENCE,NORWOOD-NORFOLK CENTRAL SCHOOL DISTRICT,15,150,1015,14.78,51220104,3621360,-74.9853,44.7923,5,299,0.67,8.87,968.5,2,7.11,12.28,1.78,6681,7.78,14.83,9.56,12.53,7.86,6.35,9.32,4.1,2.5,75.72,73.58,15.93,220629600,30.28,9700000US3621360,13.7,19.8,48469,"Norwood-Norfolk Central School District, New York",6681,50.3,49.7,36.5,8.4,6.7,4.9,5.2,96.2,1.2,0.4,0.8,99.2,2.043696766,7.868436511,0.561710668,38.05844728,0.795450837,0.719577065,18.23744411,31.71523676
2019,WESTCHESTER,CROTON-HARMON UNION FREE SCHOOL DISTRICT,16,222,1607,13.81,66020203,3608580,-73.8782,41.2111,5.8,223,0.98,11.26,1370.84,6.28,11.28,16.28,4.56,9270,5.03,8.71,11.76,16.14,7.66,5.38,10.18,4.52,2.89,74.35,71.76,17.59,48209400,192.29,9700000US3608580,1.1,61.3,129194,"Croton-Harmon Union Free School District, New York",9270,48,52,42,6.5,7.1,7.8,6.4,84.5,3.7,2.9,12.6,87.4,34.36321547,20.28712243,0.154949035,41.08949707,0.029869693,0.868087966,0.416308853,2.790949483
